"RSN","WARD","WARDNAME","YEAR.BUILT","PROPERTY.TYPE","CONFIRMED.STOREYS","CONFIRMED.UNITS","CURRENT.BUILDING.EVAL.SCORE","PROPERTY.TYPE.CODE"
4155070,"09","Davenport",1960,"PRIVATE",3,23,80,1
4153149,"09","Davenport",1911,"PRIVATE",4,27,87,1
4153749,"12","Toronto-St. Paul's",1934,"PRIVATE",6,49,89,1
4153748,"12","Toronto-St. Paul's",1960,"PRIVATE",3,39,93,1
4153747,"12","Toronto-St. Paul's",1954,"PRIVATE",4,71,82,1
4153737,"11","University-Rosedale",1955,"PRIVATE",4,28,93,1
4153115,"09","Davenport",1930,"PRIVATE",3,15,75,1
5300693,"13","Toronto Centre",2021,"PRIVATE",34,231,100,1
4153536,"13","Toronto Centre",1928,"PRIVATE",3,35,91,1
4153535,"13","Toronto Centre",1960,"PRIVATE",11,77,90,1
4273205,"13","Toronto Centre",1911,"PRIVATE",3,15,79,1
4153506,"13","Toronto Centre",1940,"PRIVATE",3,27,90,1
4153530,"13","Toronto Centre",1960,"PRIVATE",11,212,92,1
5369828,"10","Spadina-Fort York",1926,"PRIVATE",3,10,41,1
4154117,"14","Toronto-Danforth",1970,"PRIVATE",21,118,99,1
4154118,"14","Toronto-Danforth",1968,"PRIVATE",11,88,94,1
4154119,"14","Toronto-Danforth",1966,"PRIVATE",17,121,88,1
4154116,"14","Toronto-Danforth",1968,"PRIVATE",12,160,98,1
4153407,"10","Spadina-Fort York",1993,"TCHC",3,11,88,3
4153409,"10","Spadina-Fort York",1970,"PRIVATE",3,24,75,1
4153117,"09","Davenport",1993,"SOCIAL HOUSING",4,44,89,2
4153484,"13","Toronto Centre",1900,"SOCIAL HOUSING",12,50,97,2
4153556,"10","Spadina-Fort York",1980,"SOCIAL HOUSING",4,32,90,2
4153554,"10","Spadina-Fort York",1980,"SOCIAL HOUSING",8,135,96,2
5364536,"11","University-Rosedale",1913,"PRIVATE",3,10,96,1
4153648,"14","Toronto-Danforth",1989,"TCHC",3,15,94,3
4155077,"09","Davenport",1960,"PRIVATE",3,29,79,1
4155076,"09","Davenport",1960,"PRIVATE",3,29,81,1
4155075,"09","Davenport",1958,"PRIVATE",4,15,99,1
4153158,"09","Davenport",1905,"PRIVATE",3,18,91,1
5386632,"12","Toronto-St. Paul's",1946,"PRIVATE",3,30,59,1
4155887,"12","Toronto-St. Paul's",1959,"PRIVATE",3,35,98,1
4155919,"12","Toronto-St. Paul's",1959,"PRIVATE",3,35,95,1
4156294,"12","Toronto-St. Paul's",1959,"PRIVATE",3,37,94,1
4154932,"12","Toronto-St. Paul's",1975,"PRIVATE",17,81,93,1
4153353,"12","Toronto-St. Paul's",1956,"PRIVATE",3,29,90,1
4153385,"10","Spadina-Fort York",1979,"TCHC",6,196,86,3
4167772,"10","Spadina-Fort York",1980,"TCHC",5,15,78,3
4155598,"11","University-Rosedale",1978,"TCHC",4,105,86,3
4153153,"09","Davenport",1925,"PRIVATE",3,31,59,1
4156229,"11","University-Rosedale",1965,"PRIVATE",24,196,89,1
4153230,"11","University-Rosedale",1965,"PRIVATE",24,196,88,1
4155881,"14","Toronto-Danforth",1954,"PRIVATE",4,71,97,1
4154138,"14","Toronto-Danforth",1953,"PRIVATE",4,44,95,1
4153606,"14","Toronto-Danforth",1968,"PRIVATE",23,287,97,1
4233372,"12","Toronto-St. Paul's",1975,"PRIVATE",14,66,94,1
4156296,"12","Toronto-St. Paul's",1963,"PRIVATE",14,162,95,1
4156163,"12","Toronto-St. Paul's",1967,"PRIVATE",15,145,87,1
4286257,"12","Toronto-St. Paul's",1969,"TCHC",4,14,86,3
4153779,"12","Toronto-St. Paul's",1993,"SOCIAL HOUSING",16,127,91,2
4153470,"13","Toronto Centre",1940,"PRIVATE",4,67,78,1
4153598,"13","Toronto Centre",1969,"PRIVATE",24,381,86,1
4153599,"13","Toronto Centre",1964,"PRIVATE",15,239,94,1
4153194,"11","University-Rosedale",1920,"PRIVATE",3,24,92,1
